
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:0B:BB:52:0B:10, 2023-09-12 01:06:22, 2023-09-12 01:13:13,  1, 130, WPA2, CCMP, PSK, -60,      188,        2,   0.  0.  0.  0,  13, Rep Shrekudas, 
D2:21:F9:14:02:E7, 2023-09-12 01:06:23, 2023-09-12 01:13:18,  6, 130, WPA2, CCMP, PSK, -57,      286,        0,   0.  0.  0.  0,  25, Moradia Do Estudante Sala, 
D2:21:F9:24:02:E7, 2023-09-12 01:06:23, 2023-09-12 01:13:18,  6, 130, WPA2, CCMP, PSK, -57,      285,        0,   0.  0.  0.  0,   0, , 
D0:21:F9:54:02:E7, 2023-09-12 01:06:23, 2023-09-12 01:13:18,  6, 130, WPA2, CCMP, PSK, -58,      286,      149,   0.  0.  0.  0,  27, Moradia Do Estudante Fundos, 
28:3B:82:40:93:90, 2023-09-12 01:06:29, 2023-09-12 01:13:18, 11, 130, WPA2, CCMP TKIP, PSK, -64,       56,        1,   0.  0.  0.  0,  19, Pensionato Corredor, 
94:EA:EA:16:1A:95, 2023-09-12 01:06:29, 2023-09-12 01:13:18, 11, 130, WPA2, CCMP, PSK, -46,      108,      659,   0.  0.  0.  0,  20, Moradia Do Estudante, 
44:DF:65:66:E5:B9, 2023-09-12 01:06:31, 2023-09-12 01:13:19, 12, 648, WPA3 WPA2, CCMP, SAE PSK, -63,       97,        2,   0.  0.  0.  0,  16, Disneylândia 2G, 
46:DF:65:26:E5:B9, 2023-09-12 01:06:31, 2023-09-12 01:13:19, 12, 648, OPN, ,   , -61,      105,        0,   0.  0.  0.  0,   0, , 
92:2A:A8:BB:E6:6A, 2023-09-12 01:07:52, 2023-09-12 01:08:47, 12, 130, WPA2, CCMP, PSK, -64,        2,        0,   0.  0.  0.  0,   0, , 
10:72:23:B8:EB:E7, 2023-09-12 01:09:24, 2023-09-12 01:10:45,  1, 130, WPA2, CCMP, PSK, -66,        0,        0,   0.  0.  0.  0,   6, Router, 
84:0B:BB:52:0B:17, 2023-09-12 01:10:21, 2023-09-12 01:10:21,  8,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
80:2A:A8:BB:E6:6A, 2023-09-12 01:10:27, 2023-09-12 01:11:30, 12, 130, WPA2, CCMP, PSK, -66,        2,        0,   0.  0.  0.  0,  27, Moradia Do Estudante Fundos, 
82:2A:A8:BB:E6:6A, 2023-09-12 01:13:19, 2023-09-12 01:13:19, 12, 130, WPA2, CCMP, PSK, -63,        1,        0,   0.  0.  0.  0,  25, Moradia Do Estudante Sala, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
62:B1:E5:A5:A9:CF, 2023-09-12 01:06:22, 2023-09-12 01:06:22, -55,        1, (not associated) ,Moradia Do Estudante Fundos
2E:0C:EB:49:0D:6E, 2023-09-12 01:06:29, 2023-09-12 01:13:08, -55,       25, D0:21:F9:54:02:E7,
EE:3C:C2:FF:28:34, 2023-09-12 01:06:29, 2023-09-12 01:12:59, -63,      161, 94:EA:EA:16:1A:95,
DE:BA:E2:AB:16:6F, 2023-09-12 01:06:39, 2023-09-12 01:06:39, -35,        4, (not associated) ,
22:1C:AA:60:40:35, 2023-09-12 01:06:40, 2023-09-12 01:06:41, -56,        3, (not associated) ,Moradia Do Estudante Fundos
82:93:C5:5C:C4:1E, 2023-09-12 01:06:51, 2023-09-12 01:06:51, -52,        1, (not associated) ,Moradia Do Estudante Fundos
26:9E:54:79:C1:93, 2023-09-12 01:06:56, 2023-09-12 01:06:56, -54,        3, (not associated) ,Moradia Do Estudante Fundos
AE:27:77:90:53:87, 2023-09-12 01:06:56, 2023-09-12 01:10:10, -49,       87, 94:EA:EA:16:1A:95,appm
2A:7B:7B:89:A4:0F, 2023-09-12 01:06:56, 2023-09-12 01:06:56, -63,        1, 28:3B:82:40:93:90,
26:89:53:9B:40:F8, 2023-09-12 01:07:01, 2023-09-12 01:07:01, -56,        3, (not associated) ,Moradia Do Estudante Fundos
02:F3:1B:03:F7:B4, 2023-09-12 01:07:06, 2023-09-12 01:07:06, -50,        2, (not associated) ,Moradia Do Estudante Fundos
C2:2F:2F:9A:F4:A0, 2023-09-12 01:07:24, 2023-09-12 01:07:24, -52,        3, (not associated) ,Moradia Do Estudante Fundos
1A:27:6D:68:5D:45, 2023-09-12 01:07:50, 2023-09-12 01:07:50, -53,        3, (not associated) ,Moradia Do Estudante Fundos
0A:EE:13:7D:4D:C3, 2023-09-12 01:07:59, 2023-09-12 01:07:59, -54,        3, (not associated) ,Moradia Do Estudante Fundos
44:6D:57:64:1B:3F, 2023-09-12 01:08:06, 2023-09-12 01:12:06, -65,        5, (not associated) ,
12:75:F5:18:37:9D, 2023-09-12 01:08:18, 2023-09-12 01:08:18, -48,        3, (not associated) ,Moradia Do Estudante Fundos
0A:E7:39:73:ED:04, 2023-09-12 01:08:18, 2023-09-12 01:08:18, -51,        3, (not associated) ,Moradia Do Estudante Fundos
DA:DE:2E:90:8C:E5, 2023-09-12 01:08:28, 2023-09-12 01:08:28, -53,        2, (not associated) ,Moradia Do Estudante Fundos
F0:35:75:2C:20:85, 2023-09-12 01:08:38, 2023-09-12 01:10:45, -62,        2, 44:DF:65:66:E5:B9,
CA:FB:D5:EE:2D:F3, 2023-09-12 01:08:48, 2023-09-12 01:08:48, -56,        2, (not associated) ,Moradia Do Estudante Fundos
E2:57:D6:49:72:79, 2023-09-12 01:08:53, 2023-09-12 01:08:53, -52,        3, (not associated) ,Moradia Do Estudante Fundos
5E:4B:04:44:34:28, 2023-09-12 01:08:54, 2023-09-12 01:08:54, -57,        1, (not associated) ,Moradia Do Estudante Fundos
92:A7:01:67:BD:18, 2023-09-12 01:08:54, 2023-09-12 01:08:54, -52,        2, (not associated) ,Moradia Do Estudante Fundos
9E:28:67:7B:C2:1B, 2023-09-12 01:08:54, 2023-09-12 01:08:54, -55,        2, (not associated) ,Moradia Do Estudante Fundos
36:25:87:40:8F:51, 2023-09-12 01:08:54, 2023-09-12 01:08:54, -52,        2, (not associated) ,Moradia Do Estudante Fundos
1A:6A:59:29:BC:69, 2023-09-12 01:09:07, 2023-09-12 01:09:07, -54,        1, (not associated) ,Moradia Do Estudante Fundos
5E:E9:23:C4:D3:E8, 2023-09-12 01:09:12, 2023-09-12 01:09:12, -56,        2, (not associated) ,Moradia Do Estudante Fundos
BA:75:D8:A9:DD:25, 2023-09-12 01:09:32, 2023-09-12 01:09:32, -54,        3, (not associated) ,Moradia Do Estudante Fundos
EA:C5:52:38:F6:73, 2023-09-12 01:09:32, 2023-09-12 01:09:32, -52,        3, (not associated) ,Moradia Do Estudante Fundos
6E:BB:CD:F9:81:A9, 2023-09-12 01:09:42, 2023-09-12 01:09:42, -53,        3, (not associated) ,Moradia Do Estudante Fundos
9E:DB:CE:12:F6:04, 2023-09-12 01:09:43, 2023-09-12 01:09:43, -52,        2, (not associated) ,Moradia Do Estudante Fundos
9A:06:E7:A4:81:5C, 2023-09-12 01:09:43, 2023-09-12 01:09:43, -51,        2, (not associated) ,Moradia Do Estudante Fundos
66:CE:BD:6F:23:FA, 2023-09-12 01:10:00, 2023-09-12 01:10:09, -65,        5, 84:0B:BB:52:0B:10,
42:F8:A2:B8:54:7A, 2023-09-12 01:10:06, 2023-09-12 01:10:06, -53,        1, (not associated) ,Moradia Do Estudante Fundos
A6:B8:67:C7:6A:83, 2023-09-12 01:10:15, 2023-09-12 01:10:15, -56,        3, (not associated) ,Moradia Do Estudante Fundos
AA:37:2D:00:C8:60, 2023-09-12 01:10:18, 2023-09-12 01:12:52, -67,        4, 84:0B:BB:52:0B:10,
76:2C:9D:DD:14:00, 2023-09-12 01:10:21, 2023-09-12 01:10:21, -58,        7, 84:0B:BB:52:0B:17,Rep Shrekudas-5G
92:F6:3F:F6:82:5C, 2023-09-12 01:10:31, 2023-09-12 01:10:32, -54,        4, (not associated) ,Moradia Do Estudante Fundos
AA:E3:4A:B6:47:61, 2023-09-12 01:10:38, 2023-09-12 01:10:38, -57,        2, (not associated) ,Moradia Do Estudante Fundos
