
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D0:21:F9:54:02:E8, 2023-09-12 01:13:59, 2023-09-12 01:27:21, 36, 720, WPA2, CCMP, PSK, -73,      227,      155,   0.  0.  0.  0,  27, Moradia Do Estudante Fundos, 
D2:21:F9:14:02:E8, 2023-09-12 01:13:59, 2023-09-12 01:27:21, 36, 720, WPA2, CCMP, PSK, -73,      228,      206,   0.  0.  0.  0,  25, Moradia Do Estudante Sala, 
D2:21:F9:24:02:E8, 2023-09-12 01:13:59, 2023-09-12 01:27:21, 36, 720, WPA2, CCMP, PSK, -73,      218,        0,   0.  0.  0.  0,   0, , 
44:DF:65:66:E5:BA, 2023-09-12 01:14:00, 2023-09-12 01:27:22, 40, 648, WPA3 WPA2, CCMP, SAE PSK, -74,      216,       64,   0.  0.  0.  0,  16, Disneylândia 5G, 
46:DF:65:46:E5:B9, 2023-09-12 01:14:00, 2023-09-12 01:27:22, 40, 648, WPA2, CCMP, PSK, -73,      217,        0,   0.  0.  0.  0,   0, , 
86:0B:BB:52:0B:17, 2023-09-12 01:14:02, 2023-09-12 01:27:23, 44, 1733, WPA2, CCMP, PSK, -72,      224,       18,   0.  0.  0.  0,  13, Rep Shrekudas, 
84:0B:BB:52:0B:17, 2023-09-12 01:14:02, 2023-09-12 01:27:23, 44, 1733, WPA2, CCMP, PSK, -73,      230,       21,   0.  0.  0.  0,  16, Rep Shrekudas-5G, 
10:72:23:B8:EB:F4, 2023-09-12 01:14:05, 2023-09-12 01:27:26, 64, 1733, WPA2, CCMP, PSK, -81,      111,       11,   0.  0.  0.  0,   9, Router-5G, 
06:72:23:B8:EB:F4, 2023-09-12 01:14:05, 2023-09-12 01:27:26, 64, 1733, WPA2, CCMP, PSK, -80,      110,       11,   0.  0.  0.  0,   6, Router, 
94:EA:EA:16:1A:A2, 2023-09-12 01:14:05, 2023-09-12 01:27:28, 112, 1733, WPA2, CCMP, PSK, -46,      220,      132,   0.  0.  0.  0,  23, Moradia Do Estudante-5G, 
86:EA:EA:16:1A:A2, 2023-09-12 01:14:07, 2023-09-12 01:27:28, 112, 1733, WPA2, CCMP, PSK, -46,      222,      154,   0.  0.  0.  0,  20, Moradia Do Estudante, 
00:00:00:00:00:00, 2023-09-12 01:23:15, 2023-09-12 01:23:15, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
6A:6C:DA:D1:49:32, 2023-09-12 01:14:00, 2023-09-12 01:15:11,  -1,        2, D0:21:F9:54:02:E8,
8C:7A:3D:4A:E5:DA, 2023-09-12 01:14:05, 2023-09-12 01:27:27, -79,      166, 94:EA:EA:16:1A:A2,
FA:8F:FE:0F:4E:3F, 2023-09-12 01:14:07, 2023-09-12 01:27:28, -59,      120, 94:EA:EA:16:1A:A2,
58:CE:2A:65:B9:E5, 2023-09-12 01:14:07, 2023-09-12 01:27:28, -77,       92, 86:EA:EA:16:1A:A2,
98:83:89:CD:26:35, 2023-09-12 01:14:07, 2023-09-12 01:27:28, -66,       29, 94:EA:EA:16:1A:A2,
80:E5:40:FB:A2:45, 2023-09-12 01:14:07, 2023-09-12 01:27:28, -76,       60, 94:EA:EA:16:1A:A2,
00:05:16:59:92:6F, 2023-09-12 01:14:18, 2023-09-12 01:14:18,  -1,        1, 44:DF:65:66:E5:BA,
84:0B:BB:52:0B:17, 2023-09-12 01:14:37, 2023-09-12 01:26:11,  -1,       24, 84:0B:BB:52:0B:17,
10:72:23:B8:EB:F4, 2023-09-12 01:14:58, 2023-09-12 01:26:50,  -1,        5, 10:72:23:B8:EB:F4,
94:EA:EA:16:1A:A2, 2023-09-12 01:15:00, 2023-09-12 01:26:34,  -1,       34, 94:EA:EA:16:1A:A2,
BA:8B:00:D2:F0:C2, 2023-09-12 01:15:12, 2023-09-12 01:26:10,  -1,        6, 44:DF:65:66:E5:BA,
44:39:C4:19:03:5E, 2023-09-12 01:15:18, 2023-09-12 01:24:12,  -1,        5, 94:EA:EA:16:1A:A2,
76:2C:9D:DD:14:00, 2023-09-12 01:16:42, 2023-09-12 01:23:33, -80,        8, 84:0B:BB:52:0B:17,
A4:63:A1:45:D4:C7, 2023-09-12 01:20:03, 2023-09-12 01:27:10, -52,       11, 86:EA:EA:16:1A:A2,
B0:E4:D5:B1:D6:2A, 2023-09-12 01:20:50, 2023-09-12 01:20:50,  -1,        1, 44:DF:65:66:E5:BA,
72:A9:E5:DE:6A:19, 2023-09-12 01:22:00, 2023-09-12 01:27:20,  -1,       43, D2:21:F9:14:02:E8,
66:65:96:57:C0:F9, 2023-09-12 01:24:24, 2023-09-12 01:24:24,  -1,        1, 44:DF:65:66:E5:BA,
FA:D5:63:B3:55:47, 2023-09-12 01:26:10, 2023-09-12 01:26:10,  -1,        1, 44:DF:65:66:E5:BA,
00:D7:6D:31:A6:DC, 2023-09-12 01:27:21, 2023-09-12 01:27:21,  -1,        1, 44:DF:65:66:E5:BA,

