Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Moradia Do Estudante Fundos;D0:21:F9:54:02:E8;;36;No;WPA2,AES-CCM;No;720.0;0;227;0;155;0;0;155;;;Tue Sep 12 01:13:59 2023;Tue Sep 12 01:27:21 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Moradia Do Estudante Sala;D2:21:F9:14:02:E8;;36;No;WPA2,AES-CCM;No;720.0;0;228;0;206;0;0;206;;;Tue Sep 12 01:13:59 2023;Tue Sep 12 01:27:21 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;D2:21:F9:24:02:E8;;36;No;WPA2,AES-CCM;No;720.0;0;218;0;0;0;0;0;;;Tue Sep 12 01:13:59 2023;Tue Sep 12 01:27:21 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Disneylândia 5G;44:DF:65:66:E5:BA;;40;No;WPA3,AES-CCM,SAE;No;648.0;0;216;0;64;0;0;64;;;Tue Sep 12 01:14:00 2023;Tue Sep 12 01:27:22 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;46:DF:65:46:E5:B9;;40;No;WPA2,AES-CCM;No;648.0;0;217;0;0;0;0;0;;;Tue Sep 12 01:14:00 2023;Tue Sep 12 01:27:22 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Rep Shrekudas;86:0B:BB:52:0B:17;;44;No;WPA2,AES-CCM;No;1733.0;0;224;0;18;0;0;18;;;Tue Sep 12 01:14:02 2023;Tue Sep 12 01:27:23 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Rep Shrekudas-5G;84:0B:BB:52:0B:17;;44;No;WPA2,AES-CCM;No;1733.0;0;230;0;21;0;0;21;;;Tue Sep 12 01:14:02 2023;Tue Sep 12 01:27:23 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Router-5G;10:72:23:B8:EB:F4;;64;No;WPA2,AES-CCM;No;1733.0;0;111;0;11;0;0;11;;;Tue Sep 12 01:14:05 2023;Tue Sep 12 01:27:26 2023;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Router;06:72:23:B8:EB:F4;;64;No;WPA2,AES-CCM;No;1733.0;0;110;0;11;0;0;11;;;Tue Sep 12 01:14:05 2023;Tue Sep 12 01:27:26 2023;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Moradia Do Estudante-5G;94:EA:EA:16:1A:A2;;112;No;WPA2,AES-CCM;No;1733.0;0;220;0;132;0;0;132;;;Tue Sep 12 01:14:05 2023;Tue Sep 12 01:27:28 2023;-46;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Moradia Do Estudante;86:EA:EA:16:1A:A2;;112;No;WPA2,AES-CCM;No;1733.0;0;222;0;154;0;0;154;;;Tue Sep 12 01:14:07 2023;Tue Sep 12 01:27:28 2023;-46;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
