
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
84:0B:BB:52:0B:10, 2023-09-12 14:00:03, 2023-09-12 16:02:02,  1, 130, WPA2, CCMP, PSK, -58,      705,     1216,   0.  0.  0.  0,  13, Rep Shrekudas, 
D2:21:F9:24:02:E7, 2023-09-12 14:00:04, 2023-09-12 16:01:43,  6, 130, WPA2, CCMP, PSK, -63,     1072,        0,   0.  0.  0.  0,   0, , 
D0:21:F9:54:02:E7, 2023-09-12 14:00:10, 2023-09-12 16:01:43,  6, 130, WPA2, CCMP, PSK, -62,     1086,       52,   0.  0.  0.  0,  27, Moradia Do Estudante Fundos, 
D2:21:F9:14:02:E7, 2023-09-12 14:00:10, 2023-09-12 16:01:43,  6, 130, WPA2, CCMP, PSK, -62,     1054,      838,   0.  0.  0.  0,  25, Moradia Do Estudante Sala, 
94:EA:EA:16:1A:95, 2023-09-12 14:00:10, 2023-09-12 16:01:43, 11, 130, WPA2, CCMP, PSK, -42,      644,    23786,   0.  0.  0.  0,  20, Moradia Do Estudante, 
82:2A:A8:BB:E6:6A, 2023-09-12 14:00:12, 2023-09-12 15:58:35, 12, 130, WPA2, CCMP, PSK, -62,      103,      232,   0.  0.  0.  0,  25, Moradia Do Estudante Sala, 
D0:21:F9:54:02:E8, 2023-09-12 14:00:12, 2023-09-12 16:01:45, 36, 720, WPA2, CCMP, PSK, -71,     1290,      635,   0.  0.  0.  0,  27, Moradia Do Estudante Fundos, 
D2:21:F9:14:02:E8, 2023-09-12 14:00:12, 2023-09-12 16:01:45, 36, 720, WPA2, CCMP, PSK, -71,     1275,      638,   0.  0.  0.  0,  25, Moradia Do Estudante Sala, 
D2:21:F9:24:02:E8, 2023-09-12 14:00:12, 2023-09-12 16:01:45, 36, 720, WPA2, CCMP, PSK, -71,     1285,        0,   0.  0.  0.  0,   0, , 
86:0B:BB:52:0B:17, 2023-09-12 14:00:14, 2023-09-12 16:01:47, 44, 1733, WPA2, CCMP, PSK, -76,     1279,      351,   0.  0.  0.  0,  13, Rep Shrekudas, 
84:0B:BB:52:0B:17, 2023-09-12 14:00:15, 2023-09-12 16:01:47, 44, 1733, WPA2, CCMP, PSK, -76,     1285,    13829,   0.  0.  0.  0,  16, Rep Shrekudas-5G, 
06:72:23:B8:EB:F4, 2023-09-12 14:00:18, 2023-09-12 16:01:50, 64, 1733, WPA2, CCMP, PSK, -80,      663,      201,   0.  0.  0.  0,   6, Router, 
10:72:23:B8:EB:F4, 2023-09-12 14:00:18, 2023-09-12 16:01:50, 64, 1733, WPA2, CCMP, PSK, -80,      650,        2,   0.  0.  0.  0,   9, Router-5G, 
94:EA:EA:16:1A:A2, 2023-09-12 14:00:20, 2023-09-12 16:01:54, 116, 1733, WPA2, CCMP, PSK, -38,     1278,     1087,   0.  0.  0.  0,  23, Moradia Do Estudante-5G, 
86:EA:EA:16:1A:A2, 2023-09-12 14:00:20, 2023-09-12 16:01:53, 116, 1733, WPA2, CCMP, PSK, -38,     1302,      979,   0.  0.  0.  0,  20, Moradia Do Estudante, 
44:DF:65:66:E5:BA, 2023-09-12 14:00:40, 2023-09-12 16:01:46, 40, 648, WPA3 WPA2, CCMP, SAE PSK, -81,      728,       57,   0.  0.  0.  0,  16, Disneylândia 5G, 
46:DF:65:46:E5:B9, 2023-09-12 14:00:40, 2023-09-12 16:01:46, 40, 648, WPA2, CCMP, PSK, -80,      743,        0,   0.  0.  0.  0,   0, , 
28:3B:82:40:93:90, 2023-09-12 14:02:52, 2023-09-12 15:58:07, 11, 130, WPA2, CCMP TKIP, PSK, -62,       41,        0,   0.  0.  0.  0,  19, Pensionato Corredor, 
74:3A:EF:DB:C9:CC, 2023-09-12 14:03:46, 2023-09-12 16:01:15, 11, 260, WPA2, CCMP, PSK, -64,       47,        5,   0.  0.  0.  0,  13, Malaguetas_2G, 
90:3A:72:25:67:68, 2023-09-12 14:04:12, 2023-09-12 14:04:12, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
80:2A:A8:BB:E6:6A, 2023-09-12 14:04:14, 2023-09-12 15:58:09, 12, 130, WPA2, CCMP, PSK, -61,      113,        2,   0.  0.  0.  0,  27, Moradia Do Estudante Fundos, 
92:2A:A8:BB:E6:6A, 2023-09-12 14:04:41, 2023-09-12 16:01:44, 12, 130, WPA2, CCMP, PSK, -64,       90,        0,   0.  0.  0.  0,   0, , 
44:DF:65:66:E5:B9, 2023-09-12 14:16:47, 2023-09-12 16:01:17, 12, 648, WPA3 WPA2, CCMP, SAE PSK, -65,       85,        9,   0.  0.  0.  0,  16, Disneylândia 2G, 
10:72:23:B8:EB:E7, 2023-09-12 14:20:48, 2023-09-12 15:22:07,  1, 130, WPA2, CCMP, PSK, -64,        0,        0,   0.  0.  0.  0,   6, Router, 
46:DF:65:26:E5:B9, 2023-09-12 14:23:30, 2023-09-12 16:01:44, 12, 648, OPN, ,   , -63,       86,        0,   0.  0.  0.  0,   0, , 
0E:14:8B:50:77:81, 2023-09-12 14:44:27, 2023-09-12 14:45:01,  6, 130, WPA3 WPA2, CCMP, SAE PSK, -61,        7,        0,   0.  0.  0.  0,  16, , 
30:E1:F1:2C:BD:B7, 2023-09-12 15:00:45, 2023-09-12 15:00:45, 36,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
80:2A:A8:AD:8D:24, 2023-09-12 15:14:30, 2023-09-12 15:14:30,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C8:5D:38:67:65:9A, 2023-09-12 15:18:11, 2023-09-12 15:18:13,  5,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
30:E1:F1:2C:BD:BA, 2023-09-12 15:18:32, 2023-09-12 15:18:32,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
BC:2E:48:21:BC:22, 2023-09-12 15:23:05, 2023-09-12 15:23:05,  9,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B2:47:62:0C:E5:04, 2023-09-12 15:31:59, 2023-09-12 15:31:59,  1,  65, WPA2, CCMP, PSK, -61,        1,        0,   0.  0.  0.  0,  15, Galaxy A21s80C8, 
44:3B:32:47:72:93, 2023-09-12 15:54:59, 2023-09-12 15:54:59, 11,  -1, WPA, ,   ,  -1,        0,        8,   0.  0.  0.  0,   0, , 
00:00:00:00:00:00, 2023-09-12 15:55:55, 2023-09-12 15:56:25, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
62:1F:08:DB:AF:FB, 2023-09-12 15:56:20, 2023-09-12 15:57:14,  6, 130, WPA2, CCMP, PSK, -63,        4,        0,   0.  0.  0.  0,  17, Galaxy S10+ athos, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
F2:2B:6E:B7:A4:07, 2023-09-12 14:00:03, 2023-09-12 14:00:03, -48,        2, (not associated) ,Moradia Do Estudante Sala
F8:28:19:9C:D5:27, 2023-09-12 14:00:10, 2023-09-12 16:00:53, -69,    13403, 84:0B:BB:52:0B:17,Rep Shrekudas-5G
D2:34:D8:30:DC:87, 2023-09-12 14:00:12, 2023-09-12 14:03:20, -45,      235, 82:2A:A8:BB:E6:6A,
98:83:89:CD:26:35, 2023-09-12 14:00:20, 2023-09-12 16:01:26, -40,      188, 94:EA:EA:16:1A:A2,
94:EA:EA:16:1A:A2, 2023-09-12 14:00:20, 2023-09-12 16:01:53,  -1,      148, 94:EA:EA:16:1A:A2,
FA:8F:FE:0F:4E:3F, 2023-09-12 14:00:20, 2023-09-12 16:01:54, -51,      212, 94:EA:EA:16:1A:A2,
84:0B:BB:52:0B:17, 2023-09-12 14:00:41, 2023-09-12 16:00:53,  -1,      116, 84:0B:BB:52:0B:17,
E4:FD:45:32:77:B0, 2023-09-12 14:00:42, 2023-09-12 15:24:33, -82,      102, 84:0B:BB:52:0B:17,Rep Shrekudas-5G
10:72:23:B8:EB:F4, 2023-09-12 14:01:12, 2023-09-12 15:59:36,  -1,       80, 10:72:23:B8:EB:F4,
32:7A:36:23:44:79, 2023-09-12 14:01:30, 2023-09-12 16:01:36, -57,      242, D2:21:F9:14:02:E7,Moradia Do Estudante Sala
5C:CD:5B:6B:99:14, 2023-09-12 14:01:33, 2023-09-12 16:01:26, -74,      158, 86:EA:EA:16:1A:A2,Moradia Do Estudante
DE:9E:A9:C8:04:F7, 2023-09-12 14:01:53, 2023-09-12 14:01:53, -65,        1, (not associated) ,
70:FD:46:7F:24:14, 2023-09-12 14:02:24, 2023-09-12 16:01:15, -59,     8416, 94:EA:EA:16:1A:95,objetivoalunos,crasy
A4:63:A1:45:D4:C7, 2023-09-12 14:02:52, 2023-09-12 16:01:53, -71,      362, 86:EA:EA:16:1A:A2,Moradia Do Estudante
EE:3C:C2:FF:28:34, 2023-09-12 14:03:45, 2023-09-12 15:59:28, -63,    15095, 94:EA:EA:16:1A:95,
A0:46:5A:7D:FE:5C, 2023-09-12 14:04:14, 2023-09-12 15:20:48, -60,       37, D0:21:F9:54:02:E7,Moradia Do Estudante Fundos
8A:C0:43:8B:8E:68, 2023-09-12 14:04:33, 2023-09-12 15:55:26, -33,      397, D2:21:F9:14:02:E7,Moradia Do Estudante Sala
A4:63:A1:40:71:C7, 2023-09-12 14:06:47, 2023-09-12 15:59:21,  -1,       72, 84:0B:BB:52:0B:10,
D2:8B:70:3C:2B:6A, 2023-09-12 14:07:50, 2023-09-12 15:26:17, -81,       49, D2:21:F9:14:02:E7,
00:05:16:59:92:6F, 2023-09-12 14:08:45, 2023-09-12 15:34:24, -83,       22, 44:DF:65:66:E5:BA,Disneylândia 5G
58:CE:2A:65:B9:E5, 2023-09-12 14:10:39, 2023-09-12 16:01:26, -74,       85, 86:EA:EA:16:1A:A2,Moradia Do Estudante
80:E5:40:FB:A2:45, 2023-09-12 14:12:26, 2023-09-12 16:00:05, -76,      144, 94:EA:EA:16:1A:A2,
44:6D:57:64:1B:3F, 2023-09-12 14:13:07, 2023-09-12 16:01:16, -58,       31, D2:21:F9:14:02:E7,Moradia Do Estudante Sala
F0:35:75:2C:20:85, 2023-09-12 14:16:47, 2023-09-12 16:01:17, -61,       11, 44:DF:65:66:E5:B9,
6A:DC:FC:69:A7:74, 2023-09-12 14:16:50, 2023-09-12 15:38:28, -63,      115, 84:0B:BB:52:0B:17,Rep Shrekudas-5G
96:1F:FA:A6:2B:0F, 2023-09-12 14:17:09, 2023-09-12 14:17:09, -56,        3, (not associated) ,
AA:37:2D:00:C8:60, 2023-09-12 14:17:17, 2023-09-12 15:54:25, -81,       27, 84:0B:BB:52:0B:10,
2E:F4:85:FB:0D:53, 2023-09-12 14:17:33, 2023-09-12 14:17:33, -64,        1, (not associated) ,
16:4A:32:28:58:F8, 2023-09-12 14:17:42, 2023-09-12 15:59:31,  -1,        4, 44:DF:65:66:E5:BA,
BA:8B:00:D2:F0:C2, 2023-09-12 14:19:03, 2023-09-12 14:19:03,  -1,        1, 44:DF:65:66:E5:BA,
8A:C1:91:E0:95:67, 2023-09-12 14:20:48, 2023-09-12 14:32:54, -59,        2, 10:72:23:B8:EB:E7,
AC:12:03:97:04:50, 2023-09-12 14:22:37, 2023-09-12 14:35:02, -59,       33, 86:EA:EA:16:1A:A2,Moradia Do Estudante Fundos
D2:A7:2D:C2:A2:09, 2023-09-12 14:25:49, 2023-09-12 14:25:49, -77,        2, (not associated) ,
BA:5C:BC:35:33:E5, 2023-09-12 14:26:07, 2023-09-12 14:26:07, -65,        2, (not associated) ,
4A:3D:4B:D1:DA:A9, 2023-09-12 14:26:15, 2023-09-12 14:26:15, -83,        2, (not associated) ,
06:B2:E3:CA:22:76, 2023-09-12 14:26:16, 2023-09-12 14:26:16, -80,        2, (not associated) ,
28:6B:35:97:21:BA, 2023-09-12 14:27:34, 2023-09-12 14:29:49,  -1,        2, 44:DF:65:66:E5:BA,
E8:5A:8B:B2:0A:92, 2023-09-12 14:32:29, 2023-09-12 14:33:23, -81,       13, D0:21:F9:54:02:E8,
00:D7:6D:31:A6:DC, 2023-09-12 14:35:12, 2023-09-12 14:41:02,  -1,        2, 44:DF:65:66:E5:BA,
00:11:22:33:44:55, 2023-09-12 14:36:02, 2023-09-12 14:57:17, -80,       98, 86:EA:EA:16:1A:A2,Moradia Do Estudante
5C:CD:5B:BD:99:35, 2023-09-12 14:37:00, 2023-09-12 15:57:18, -82,       33, 86:0B:BB:52:0B:17,
16:3E:D4:42:A5:A0, 2023-09-12 14:40:04, 2023-09-12 16:01:43, -63,       25, D2:21:F9:14:02:E7,
D8:CE:3A:E7:E2:09, 2023-09-12 14:41:56, 2023-09-12 14:57:37,  -1,        7, 44:DF:65:66:E5:BA,
EE:F7:72:F2:0C:AD, 2023-09-12 14:44:21, 2023-09-12 14:44:21, -80,        1, (not associated) ,
A8:16:D0:56:FA:31, 2023-09-12 14:44:32, 2023-09-12 14:44:32, -58,        2, (not associated) ,
B0:E4:D5:B1:D6:2A, 2023-09-12 14:44:37, 2023-09-12 15:50:33,  -1,       11, 44:DF:65:66:E5:BA,
66:6C:ED:6C:FC:E8, 2023-09-12 14:46:49, 2023-09-12 14:47:04, -76,        3, (not associated) ,Router Superior
9A:49:13:0A:E8:C8, 2023-09-12 14:54:18, 2023-09-12 14:54:18, -64,        2, (not associated) ,
5A:1E:4A:36:0B:2A, 2023-09-12 14:54:36, 2023-09-12 15:42:35, -80,      234, 94:EA:EA:16:1A:A2,Moradia Do Estudante-5G
62:F7:7D:3A:E9:8B, 2023-09-12 14:57:00, 2023-09-12 14:57:00, -61,        1, (not associated) ,
