Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;MALAGUETA_2;50:D4:F7:F8:44:52;;10;No;WPA2,WPA,AES-CCM;No;195.0;0;430;0;0;0;0;0;;;Fri Sep 15 11:37:43 2023;Fri Sep 15 11:57:20 2023;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;IBTICamp;70:A7:41:D8:76:95;;1;No;WPA3,AES-CCM,SAE;No;130.0;0;8;0;0;0;0;0;;;Fri Sep 15 11:37:44 2023;Fri Sep 15 11:50:40 2023;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;92:2A:A8:AD:8D:24;;1;No;WPA2,AES-CCM;No;130.0;0;348;0;0;0;0;0;;;Fri Sep 15 11:37:44 2023;Fri Sep 15 11:57:07 2023;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Studio_e_2G;C8:5D:38:8E:1B:8D;;1;No;WPA2,AES-CCM;No;540.0;0;287;0;90;0;0;90;;;Fri Sep 15 11:37:44 2023;Fri Sep 15 11:57:16 2023;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Rep Shrekudas;84:0B:BB:52:0B:10;;1;No;WPA2,AES-CCM;No;130.0;0;524;0;742;0;0;742;;;Fri Sep 15 11:37:44 2023;Fri Sep 15 11:57:16 2023;-66;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Moradia Do Estudante Sala;82:2A:A8:AD:8D:24;;1;No;WPA2,AES-CCM;No;130.0;0;393;0;0;0;0;0;;;Fri Sep 15 11:37:44 2023;Fri Sep 15 11:57:16 2023;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;Router Inferior;30:E1:F1:2C:BD:BA;;1;No;WPA2,AES-CCM;No;270.0;0;400;0;212;0;0;212;;;Fri Sep 15 11:37:44 2023;Fri Sep 15 11:57:14 2023;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Moradia Do Estudante Fundos;80:2A:A8:AD:8D:24;;1;No;WPA2,AES-CCM;No;130.0;0;413;0;157;0;0;157;;;Fri Sep 15 11:37:44 2023;Fri Sep 15 11:57:14 2023;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Router Superior;30:E1:F1:2C:36:0E;;1;No;WPA2,AES-CCM;No;270.0;0;454;0;70;0;0;70;;;Fri Sep 15 11:37:44 2023;Fri Sep 15 11:57:19 2023;-79;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Malaguetas_2G;74:3A:EF:DB:C9:CC;;1;No;WPA2,AES-CCM;No;260.0;0;432;0;181;0;0;181;;;Fri Sep 15 11:37:44 2023;Fri Sep 15 11:57:16 2023;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
