
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
44:3B:32:4E:37:EF, 2023-09-15 11:57:41, 2023-09-15 11:57:41, 11, 130, WPA2, CCMP, PSK, -60,        1,        0,   0.  0.  0.  0,  14, Apartamento 10, 
50:D4:F7:F8:44:52, 2023-09-15 11:57:41, 2023-09-15 11:57:41, 10, 195, WPA2 WPA, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,  11, MALAGUETA_2, 
44:3B:32:4E:37:E9, 2023-09-15 11:57:41, 2023-09-15 11:57:41, 11, 130, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,  13, Apartamento 1, 
94:EA:EA:16:1A:95, 2023-09-15 11:57:41, 2023-09-15 11:57:41, 11, 130, WPA2, CCMP, PSK, -37,        1,        0,   0.  0.  0.  0,  20, Moradia Do Estudante, 
80:2A:A8:BB:E6:6A, 2023-09-15 11:57:41, 2023-09-15 11:57:41, 12, 130, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,  27, Moradia Do Estudante Fundos, 
60:32:B1:6D:FF:22, 2023-09-15 11:57:41, 2023-09-15 11:57:41, 11, 270, WPA2, CCMP, PSK, -76,        1,        0,   0.  0.  0.  0,  11, AlvAlc_Camp, 
62:32:B1:7D:FF:22, 2023-09-15 11:57:41, 2023-09-15 11:57:41, 11, 270, WPA2, CCMP, PSK, -75,        1,        0,   0.  0.  0.  0,  12, AlvAlc_Guest, 
92:2A:A8:BB:E6:6A, 2023-09-15 11:57:41, 2023-09-15 11:57:41, 12, 130, WPA2, CCMP, PSK, -78,        1,        0,   0.  0.  0.  0,   0, , 
46:DF:65:26:E5:B9, 2023-09-15 11:57:41, 2023-09-15 11:57:41, 12, 648, OPN, ,   , -76,        1,        0,   0.  0.  0.  0,   0, , 
28:3B:82:40:93:90, 2023-09-15 11:57:41, 2023-09-15 11:57:41, 11, 130, WPA2, CCMP TKIP, PSK, -63,        1,        0,   0.  0.  0.  0,  19, Pensionato Corredor, 
D0:21:F9:54:02:E8, 2023-09-15 11:57:41, 2023-09-15 11:58:35, 36, 720, WPA2, CCMP, PSK, -73,       21,        5,   0.  0.  0.  0,  27, Moradia Do Estudante Fundos, 
D2:21:F9:14:02:E8, 2023-09-15 11:57:41, 2023-09-15 11:58:35, 36, 720, WPA2, CCMP, PSK, -74,       19,        3,   0.  0.  0.  0,  25, Moradia Do Estudante Sala, 
D2:21:F9:24:02:E8, 2023-09-15 11:57:41, 2023-09-15 11:58:35, 36, 720, WPA2, CCMP, PSK, -73,       19,        0,   0.  0.  0.  0,   0, , 
44:DF:65:66:E5:BA, 2023-09-15 11:57:42, 2023-09-15 11:58:36, 40, 648, WPA3 WPA2, CCMP, SAE PSK, -85,       19,        1,   0.  0.  0.  0,  16, Disneylândia 5G, 
46:DF:65:46:E5:B9, 2023-09-15 11:57:42, 2023-09-15 11:58:36, 40, 648, WPA2, CCMP, PSK, -85,       19,        0,   0.  0.  0.  0,   0, , 
84:0B:BB:52:0B:17, 2023-09-15 11:57:43, 2023-09-15 11:58:37, 44, 1733, WPA2, CCMP, PSK, -73,       21,        0,   0.  0.  0.  0,  16, Rep Shrekudas-5G, 
86:0B:BB:52:0B:17, 2023-09-15 11:57:43, 2023-09-15 11:58:37, 44, 1733, WPA2, CCMP, PSK, -74,       19,        4,   0.  0.  0.  0,  13, Rep Shrekudas, 
94:EA:EA:16:1A:A2, 2023-09-15 11:57:47, 2023-09-15 11:58:44, 124, 1733, WPA2, CCMP, PSK, -54,       20,        5,   0.  0.  0.  0,  23, Moradia Do Estudante-5G, 
10:72:23:B8:EB:F4, 2023-09-15 11:57:47, 2023-09-15 11:58:41, 104, 1733, WPA2, CCMP, PSK, -83,       20,        0,   0.  0.  0.  0,   9, Router-5G, 
06:72:23:B8:EB:F4, 2023-09-15 11:57:47, 2023-09-15 11:58:41, 104, 1733, WPA2, CCMP, PSK, -82,       20,        0,   0.  0.  0.  0,   6, Router, 
86:EA:EA:16:1A:A2, 2023-09-15 11:57:50, 2023-09-15 11:58:44, 124, 1733, WPA2, CCMP, PSK, -55,       20,        5,   0.  0.  0.  0,  20, Moradia Do Estudante, 
30:E1:F1:2C:36:0B, 2023-09-15 11:57:54, 2023-09-15 11:58:30, 149, 866, WPA2, CCMP, PSK, -87,       15,        0,   0.  0.  0.  0,  15, Router Superior, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
FA:8F:FE:0F:4E:3F, 2023-09-15 11:57:47, 2023-09-15 11:58:44, -58,       33, 94:EA:EA:16:1A:A2,
80:E5:40:FB:A2:45, 2023-09-15 11:57:51, 2023-09-15 11:57:51, -82,       21, 94:EA:EA:16:1A:A2,
42:10:90:8B:2D:82, 2023-09-15 11:57:59, 2023-09-15 11:57:59, -82,        6, D0:21:F9:54:02:E8,
5C:CD:5B:BD:99:35, 2023-09-15 11:58:01, 2023-09-15 11:58:01, -87,        1, 86:0B:BB:52:0B:17,
10:72:23:B8:EB:F4, 2023-09-15 11:58:05, 2023-09-15 11:58:06,  -1,        3, 10:72:23:B8:EB:F4,
12:5B:A7:F2:EF:89, 2023-09-15 11:58:08, 2023-09-15 11:58:44, -78,        9, 94:EA:EA:16:1A:A2,
AA:37:2D:00:C8:60, 2023-09-15 11:58:37, 2023-09-15 11:58:37, -84,        1, 86:0B:BB:52:0B:17,

